hueviy_nikolaev,Хуёвый Николаев,46.972756,32.019439
crazynizhniy,Хуёвый Нижний,56.327198,43.935485
hlevakha,Хуёвая Глеваха,50.262132,30.291511
fuck_spb,Хуёвый Питер™,59.928184,30.326171
hu_lviv,Хуйовий Львів,49.833111,24.009826
Hu_0dessa,Хуёвая Одесса,46.466241,30.713439
m_crny,Хуёвый Антрацит,48.132642,39.081062
tombreadley,Хуёвый Київ,50.461001,30.447021
Shok123,Хуёвый Минск,53.916068,27.541244
asagovsky,Хуевый Алчевск,48.476791,38.799537
MYkin82,Хуёвая Борщага(Kiev),50.425472,30.35157
xyevii_kharkov,Хуёвый Харьков,49.995381,36.259582
htomyie,NeXyevyi London,51.507033,-0.132051
peoplelugansk,Хуевый Луганск,48.575244,39.349487
Hy_Donetsk,Хуёвый Донецк,48.005084,37.771575
hyevayamoskva,Хуевая Москва,55.747212,37.624998
CaLaChisinau,ХУевый Кишинев,47.026142,28.847244
HujevijPiter,Хуевый Питер,60.011344,30.357757
xyevii_nikolaev,Хуёвый Николаев,46.900554,32.029213
ExileUA,Хуёвый Славянск,48.842576,37.604431
starobelsk_ebat,Хуёвый Старобельск,49.276765,38.918526
xyevii_dnepr,Хуёвый Днепр,48.532521,34.983108
ohueniydnepr,Охуенный Днепр,48.429201,35.022247
fuckysebastopol,Хуёвый Севастополь,44.618363,33.526404
hyeva_maryinka,Хуевая Марьинка,47.941992,37.509872
hu_od,Хуевая Одесса,46.473808,30.662627
